oaid,nome,lat,lon,elev,type,x_utm32n,y_utm32n
T0402,Bezzecca (Spessa),45.8956,10.725,710,TA;TP,633821.1279229944,5083894.796290005
T0403,Canazei (Ciampac),46.446,11.7692,2150,TA;TP,712692.1288792002,5147329.516739507
T0404,Marmolada (Sas Del Mul),46.4436,11.8808,2606,TA;TP,721273.0897434228,5147369.38160582
T0405,Ala (Maso Le Pozze),45.7861,11.0238,170,TA;TP,657309.4160251699,5072273.872131785
T0406,Paganella (Malga Terlago),46.143,11.0215,1790,TA;TP,656124.4451457709,5111922.3373672515
T0407,Grigno (Barricata),45.9799,11.5902,1345,TA;TP,700635.5395880921,5095076.531567439
T0408,Mezzolombardo (Maso Delle Part),46.1873,11.1044,204,TA;TP,662396.403960453,5117010.677281118
T0409,Pergine Valsugana,46.0619,11.2443,498,TA;TP,673585.8668014191,5103373.763059985
T0410,Daone (Pracul),45.9715,10.5631,897,TA;TP,621096.0889946198,5092068.7533617765
T0411,Villa Rendena (Rifugio Gork),46.0809,10.6607,1203,TA;TP,628403.6522827871,5104376.707412271
T0412,Zuclo (Malga Casinot),45.9713,10.742,1695,TA;TP,634956.1385409815,5092334.026094693
T0413,Val D'Ambiez,46.1334,10.8814,1888,TA;TP,645329.663267883,5110589.873436387
T0414,San Lorenzo In Banale (Pergoletti),46.0663,10.9113,685,TA;TP,647818.535112869,5103189.758123682
T0415,Bresimo (Malga Bordolona),46.4331,10.8893,1815,TA;TP,645145.9826097963,5143903.950322396
T0416,Vermiglio (Masi di Palu'),46.2841,10.6947,1575,TA;TP,630550.4850446235,5127009.413451404
T0417,Rumo (Lanza),46.4539,11.0085,1100,TA;TP,654244.6404781889,5146440.864422121
T0418,Castelfondo (Malga Castrin),46.51,11.0436,1815,TA;TP,656778.8280557488,5152743.402273776
T0419,Tonadico (Castelpietra),46.1989,11.8657,1045,TA;TP,721097.5937277423,5120139.352559101
T0420,Mezzano,46.1547,11.8126,640,TA;TP,717174.9680965116,5115081.878117813
T0421,Caoria,46.192,11.6839,803,TA;TP,707097.5344214649,5118882.075940153
T0422,Pieve Tesino (Malga Sorgazza),46.1335,11.5999,1435,TA;TP,700828.9200002251,5112166.572707721
T0423,Grigno,46.0063,11.6568,238,TA;TP,705696.3241486942,5098179.619533798
T0424,Ronchi Valsugana (Malga Casapinello),46.096,11.4023,1710,TA;TP,685691.6737317459,5107519.456123219
T0425,Passo Pian Delle Fugazze,45.759,11.1748,1170,TA;TP,669128.3935348272,5069571.420107238
T0426,Giustino (frana),46.1475,10.7755,877,TA;TP,637114.4538102319,5111968.220070212
T0427,Folgarida Alta,46.3019,10.8652,1368,TA;TP,643638.1278421422,5129282.178779439
T0428,Pieve Di Bono,45.941,10.6429,525,TA;TP,627348.1446016163,5088804.456907864
T0429,Lago Di Calaita,46.2006,11.7935,1605,TA;TP,715520.6726533757,5120129.522207852
T0431,Capriana,46.2631,11.3363,1055,TA;TP,680043.6253672985,5125933.296402251
T0432,Val Sella (Montagnola),46.0061,11.3793,956,TA;TP,684212.6673710374,5097477.686024786
T0433,Val Genova (Malga Caret),46.1814,10.6348,1418,TA;TP,626171.3566349254,5115501.535667848
T0435,Pinzolo (Malga Zeledria),46.2449,10.8344,1775,TA;TP,641412.8507550133,5122893.540949948
T0436,Ragoli (Rifugio Alimonta),46.1725,10.8906,2577,TA;TP,645936.8915163479,5114951.047167303
T0437,Canazei (Gries),46.4783,11.7669,1465,TA;TP,712389.746973942,5150912.16024919
T0439,Ghiacciaio Presena,46.2231,10.5836,2852,TA;TP,622127.4053045892,5120054.686499162
T0442,Ghiacciaio Presena (Passo Paradiso),46.2385,10.5814,2587,TA;TP,621923.6299241764,5121762.390021518
T0443,Brentonico (Santa Caterina),45.824,10.9598,727,TA;TP,652231.4606939333,5076360.611030722
T0444,Ghiacciaio di Fradusta,46.2551,11.8717,2720,TA;TP,721334.3223032863,5126400.220034827
T0445,Canazei (Coi de Paussa),46.472,11.849,2376,TA;TP,718716.8153710428,5150436.296025154
T0450,San Martino di Castrozza,46.2616,11.7963,1470,TA;TP,715497.6353121299,5126914.588015318
T0454,Trento (Liceo Galilei),46.0644,11.1374,255,TA;TP,665310.3395052633,5103423.7580427285
T0469,Castello Tesino (Le Parti),46.0569,11.6299,801,TA;TP,703427.8553340915,5103732.2784252595
T0473,Ghiacciaio Del Careser,46.4513,10.7183,3093,TA;TP,631965.0999429488,5145626.440410411
T0994,Folgarida Bassa,46.3036,10.8591,1280,TA;TP,643163.9444038342,5129460.024151266
